Sample in Buffer,Sample in Window,TRIGGER,u_ram_rw/rst_n,u_ram_rw/ram_wea,u_ram_rw/ram_addr[4:0],u_ram_rw/ram_wr_data[7:0],u_ram_rw/ram_rd_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,1,0,7,0,6
1,1,0,1,0,8,0,7
2,2,0,1,0,9,0,8
3,3,0,1,0,10,0,9
4,4,0,1,0,11,0,10
5,5,0,1,0,12,0,11
6,6,0,1,0,13,0,12
7,7,0,1,0,14,0,13
8,8,0,1,0,15,0,14
9,9,0,1,0,16,0,15
10,10,0,1,0,17,0,16
11,11,0,1,0,18,0,17
12,12,0,1,0,19,0,18
13,13,0,1,0,20,0,19
14,14,0,1,0,21,0,20
15,15,0,1,0,22,0,21
16,16,0,1,0,23,0,22
17,17,0,1,0,24,0,23
18,18,0,1,0,25,0,24
19,19,0,1,0,26,0,25
20,20,0,1,0,27,0,26
21,21,0,1,0,28,0,27
22,22,0,1,0,29,0,28
23,23,0,1,0,30,0,29
24,24,0,1,0,31,0,30
25,25,0,1,1,0,0,31
26,26,0,1,1,1,1,31
27,27,0,1,1,2,2,31
28,28,0,1,1,3,3,31
29,29,0,1,1,4,4,31
30,30,0,1,1,5,5,31
31,31,0,1,1,6,6,31
32,32,0,1,1,7,7,31
33,33,0,1,1,8,8,31
34,34,0,1,1,9,9,31
35,35,0,1,1,10,10,31
36,36,0,1,1,11,11,31
37,37,0,1,1,12,12,31
38,38,0,1,1,13,13,31
39,39,0,1,1,14,14,31
40,40,0,1,1,15,15,31
41,41,0,1,1,16,16,31
42,42,0,1,1,17,17,31
43,43,0,1,1,18,18,31
44,44,0,1,1,19,19,31
45,45,0,1,1,20,20,31
46,46,0,1,1,21,21,31
47,47,0,1,1,22,22,31
48,48,0,1,1,23,23,31
49,49,0,1,1,24,24,31
50,50,0,1,1,25,25,31
51,51,0,1,1,26,26,31
52,52,0,1,1,27,27,31
53,53,0,1,1,28,28,31
54,54,0,1,1,29,29,31
55,55,0,1,1,30,30,31
56,56,0,1,1,31,31,31
57,57,0,1,0,0,32,31
58,58,0,1,0,1,0,0
59,59,0,1,0,2,0,1
60,60,0,1,0,3,0,2
61,61,0,1,0,4,0,3
62,62,0,1,0,5,0,4
63,63,0,1,0,6,0,5
64,64,0,1,0,7,0,6
65,65,0,1,0,8,0,7
66,66,0,1,0,9,0,8
67,67,0,1,0,10,0,9
68,68,0,1,0,11,0,10
69,69,0,1,0,12,0,11
70,70,0,1,0,13,0,12
71,71,0,1,0,14,0,13
72,72,0,1,0,15,0,14
73,73,0,1,0,16,0,15
74,74,0,1,0,17,0,16
75,75,0,1,0,18,0,17
76,76,0,1,0,19,0,18
77,77,0,1,0,20,0,19
78,78,0,1,0,21,0,20
79,79,0,1,0,22,0,21
80,80,0,1,0,23,0,22
81,81,0,1,0,24,0,23
82,82,0,1,0,25,0,24
83,83,0,1,0,26,0,25
84,84,0,1,0,27,0,26
85,85,0,1,0,28,0,27
86,86,0,1,0,29,0,28
87,87,0,1,0,30,0,29
88,88,0,1,0,31,0,30
89,89,0,1,1,0,0,31
90,90,0,1,1,1,1,31
91,91,0,1,1,2,2,31
92,92,0,1,1,3,3,31
93,93,0,1,1,4,4,31
94,94,0,1,1,5,5,31
95,95,0,1,1,6,6,31
96,96,0,1,1,7,7,31
97,97,0,1,1,8,8,31
98,98,0,1,1,9,9,31
99,99,0,1,1,10,10,31
100,100,0,1,1,11,11,31
101,101,0,1,1,12,12,31
102,102,0,1,1,13,13,31
103,103,0,1,1,14,14,31
104,104,0,1,1,15,15,31
105,105,0,1,1,16,16,31
106,106,0,1,1,17,17,31
107,107,0,1,1,18,18,31
108,108,0,1,1,19,19,31
109,109,0,1,1,20,20,31
110,110,0,1,1,21,21,31
111,111,0,1,1,22,22,31
112,112,0,1,1,23,23,31
113,113,0,1,1,24,24,31
114,114,0,1,1,25,25,31
115,115,0,1,1,26,26,31
116,116,0,1,1,27,27,31
117,117,0,1,1,28,28,31
118,118,0,1,1,29,29,31
119,119,0,1,1,30,30,31
120,120,0,1,1,31,31,31
121,121,0,1,0,0,32,31
122,122,0,1,0,1,0,0
123,123,0,1,0,2,0,1
124,124,0,1,0,3,0,2
125,125,0,1,0,4,0,3
126,126,0,1,0,5,0,4
127,127,0,1,0,6,0,5
128,128,0,1,0,7,0,6
129,129,0,1,0,8,0,7
130,130,0,1,0,9,0,8
131,131,0,1,0,10,0,9
132,132,0,1,0,11,0,10
133,133,0,1,0,12,0,11
134,134,0,1,0,13,0,12
135,135,0,1,0,14,0,13
136,136,0,1,0,15,0,14
137,137,0,1,0,16,0,15
138,138,0,1,0,17,0,16
139,139,0,1,0,18,0,17
140,140,0,1,0,19,0,18
141,141,0,1,0,20,0,19
142,142,0,1,0,21,0,20
143,143,0,1,0,22,0,21
144,144,0,1,0,23,0,22
145,145,0,1,0,24,0,23
146,146,0,1,0,25,0,24
147,147,0,1,0,26,0,25
148,148,0,1,0,27,0,26
149,149,0,1,0,28,0,27
150,150,0,1,0,29,0,28
151,151,0,1,0,30,0,29
152,152,0,1,0,31,0,30
153,153,0,1,1,0,0,31
154,154,0,1,1,1,1,31
155,155,0,1,1,2,2,31
156,156,0,1,1,3,3,31
157,157,0,1,1,4,4,31
158,158,0,1,1,5,5,31
159,159,0,1,1,6,6,31
160,160,0,1,1,7,7,31
161,161,0,1,1,8,8,31
162,162,0,1,1,9,9,31
163,163,0,1,1,10,10,31
164,164,0,1,1,11,11,31
165,165,0,1,1,12,12,31
166,166,0,1,1,13,13,31
167,167,0,1,1,14,14,31
168,168,0,1,1,15,15,31
169,169,0,1,1,16,16,31
170,170,0,1,1,17,17,31
171,171,0,1,1,18,18,31
172,172,0,1,1,19,19,31
173,173,0,1,1,20,20,31
174,174,0,1,1,21,21,31
175,175,0,1,1,22,22,31
176,176,0,1,1,23,23,31
177,177,0,1,1,24,24,31
178,178,0,1,1,25,25,31
179,179,0,1,1,26,26,31
180,180,0,1,1,27,27,31
181,181,0,1,1,28,28,31
182,182,0,1,1,29,29,31
183,183,0,1,1,30,30,31
184,184,0,1,1,31,31,31
185,185,0,1,0,0,32,31
186,186,0,1,0,1,0,0
187,187,0,1,0,2,0,1
188,188,0,1,0,3,0,2
189,189,0,1,0,4,0,3
190,190,0,1,0,5,0,4
191,191,0,1,0,6,0,5
192,192,0,1,0,7,0,6
193,193,0,1,0,8,0,7
194,194,0,1,0,9,0,8
195,195,0,1,0,10,0,9
196,196,0,1,0,11,0,10
197,197,0,1,0,12,0,11
198,198,0,1,0,13,0,12
199,199,0,1,0,14,0,13
200,200,0,1,0,15,0,14
201,201,0,1,0,16,0,15
202,202,0,1,0,17,0,16
203,203,0,1,0,18,0,17
204,204,0,1,0,19,0,18
205,205,0,1,0,20,0,19
206,206,0,1,0,21,0,20
207,207,0,1,0,22,0,21
208,208,0,1,0,23,0,22
209,209,0,1,0,24,0,23
210,210,0,1,0,25,0,24
211,211,0,1,0,26,0,25
212,212,0,1,0,27,0,26
213,213,0,1,0,28,0,27
214,214,0,1,0,29,0,28
215,215,0,1,0,30,0,29
216,216,0,1,0,31,0,30
217,217,0,1,1,0,0,31
218,218,0,1,1,1,1,31
219,219,0,1,1,2,2,31
220,220,0,1,1,3,3,31
221,221,0,1,1,4,4,31
222,222,0,1,1,5,5,31
223,223,0,1,1,6,6,31
224,224,0,1,1,7,7,31
225,225,0,1,1,8,8,31
226,226,0,1,1,9,9,31
227,227,0,1,1,10,10,31
228,228,0,1,1,11,11,31
229,229,0,1,1,12,12,31
230,230,0,1,1,13,13,31
231,231,0,1,1,14,14,31
232,232,0,1,1,15,15,31
233,233,0,1,1,16,16,31
234,234,0,1,1,17,17,31
235,235,0,1,1,18,18,31
236,236,0,1,1,19,19,31
237,237,0,1,1,20,20,31
238,238,0,1,1,21,21,31
239,239,0,1,1,22,22,31
240,240,0,1,1,23,23,31
241,241,0,1,1,24,24,31
242,242,0,1,1,25,25,31
243,243,0,1,1,26,26,31
244,244,0,1,1,27,27,31
245,245,0,1,1,28,28,31
246,246,0,1,1,29,29,31
247,247,0,1,1,30,30,31
248,248,0,1,1,31,31,31
249,249,0,1,0,0,32,31
250,250,0,1,0,1,0,0
251,251,0,1,0,2,0,1
252,252,0,1,0,3,0,2
253,253,0,1,0,4,0,3
254,254,0,1,0,5,0,4
255,255,0,1,0,6,0,5
256,256,0,1,0,7,0,6
257,257,0,1,0,8,0,7
258,258,0,1,0,9,0,8
259,259,0,1,0,10,0,9
260,260,0,1,0,11,0,10
261,261,0,1,0,12,0,11
262,262,0,1,0,13,0,12
263,263,0,1,0,14,0,13
264,264,0,1,0,15,0,14
265,265,0,1,0,16,0,15
266,266,0,1,0,17,0,16
267,267,0,1,0,18,0,17
268,268,0,1,0,19,0,18
269,269,0,1,0,20,0,19
270,270,0,1,0,21,0,20
271,271,0,1,0,22,0,21
272,272,0,1,0,23,0,22
273,273,0,1,0,24,0,23
274,274,0,1,0,25,0,24
275,275,0,1,0,26,0,25
276,276,0,1,0,27,0,26
277,277,0,1,0,28,0,27
278,278,0,1,0,29,0,28
279,279,0,1,0,30,0,29
280,280,0,1,0,31,0,30
281,281,0,1,1,0,0,31
282,282,0,1,1,1,1,31
283,283,0,1,1,2,2,31
284,284,0,1,1,3,3,31
285,285,0,1,1,4,4,31
286,286,0,1,1,5,5,31
287,287,0,1,1,6,6,31
288,288,0,1,1,7,7,31
289,289,0,1,1,8,8,31
290,290,0,1,1,9,9,31
291,291,0,1,1,10,10,31
292,292,0,1,1,11,11,31
293,293,0,1,1,12,12,31
294,294,0,1,1,13,13,31
295,295,0,1,1,14,14,31
296,296,0,1,1,15,15,31
297,297,0,1,1,16,16,31
298,298,0,1,1,17,17,31
299,299,0,1,1,18,18,31
300,300,0,1,1,19,19,31
301,301,0,1,1,20,20,31
302,302,0,1,1,21,21,31
303,303,0,1,1,22,22,31
304,304,0,1,1,23,23,31
305,305,0,1,1,24,24,31
306,306,0,1,1,25,25,31
307,307,0,1,1,26,26,31
308,308,0,1,1,27,27,31
309,309,0,1,1,28,28,31
310,310,0,1,1,29,29,31
311,311,0,1,1,30,30,31
312,312,0,1,1,31,31,31
313,313,0,1,0,0,32,31
314,314,0,1,0,1,0,0
315,315,0,1,0,2,0,1
316,316,0,1,0,3,0,2
317,317,0,1,0,4,0,3
318,318,0,1,0,5,0,4
319,319,0,1,0,6,0,5
320,320,0,1,0,7,0,6
321,321,0,1,0,8,0,7
322,322,0,1,0,9,0,8
323,323,0,1,0,10,0,9
324,324,0,1,0,11,0,10
325,325,0,1,0,12,0,11
326,326,0,1,0,13,0,12
327,327,0,1,0,14,0,13
328,328,0,1,0,15,0,14
329,329,0,1,0,16,0,15
330,330,0,1,0,17,0,16
331,331,0,1,0,18,0,17
332,332,0,1,0,19,0,18
333,333,0,1,0,20,0,19
334,334,0,1,0,21,0,20
335,335,0,1,0,22,0,21
336,336,0,1,0,23,0,22
337,337,0,1,0,24,0,23
338,338,0,1,0,25,0,24
339,339,0,1,0,26,0,25
340,340,0,1,0,27,0,26
341,341,0,1,0,28,0,27
342,342,0,1,0,29,0,28
343,343,0,1,0,30,0,29
344,344,0,1,0,31,0,30
345,345,0,1,1,0,0,31
346,346,0,1,1,1,1,31
347,347,0,1,1,2,2,31
348,348,0,1,1,3,3,31
349,349,0,1,1,4,4,31
350,350,0,1,1,5,5,31
351,351,0,1,1,6,6,31
352,352,0,1,1,7,7,31
353,353,0,1,1,8,8,31
354,354,0,1,1,9,9,31
355,355,0,1,1,10,10,31
356,356,0,1,1,11,11,31
357,357,0,1,1,12,12,31
358,358,0,1,1,13,13,31
359,359,0,1,1,14,14,31
360,360,0,1,1,15,15,31
361,361,0,1,1,16,16,31
362,362,0,1,1,17,17,31
363,363,0,1,1,18,18,31
364,364,0,1,1,19,19,31
365,365,0,1,1,20,20,31
366,366,0,1,1,21,21,31
367,367,0,1,1,22,22,31
368,368,0,1,1,23,23,31
369,369,0,1,1,24,24,31
370,370,0,1,1,25,25,31
371,371,0,1,1,26,26,31
372,372,0,1,1,27,27,31
373,373,0,1,1,28,28,31
374,374,0,1,1,29,29,31
375,375,0,1,1,30,30,31
376,376,0,1,1,31,31,31
377,377,0,1,0,0,32,31
378,378,0,1,0,1,0,0
379,379,0,1,0,2,0,1
380,380,0,1,0,3,0,2
381,381,0,1,0,4,0,3
382,382,0,1,0,5,0,4
383,383,0,1,0,6,0,5
384,384,0,1,0,7,0,6
385,385,0,1,0,8,0,7
386,386,0,1,0,9,0,8
387,387,0,1,0,10,0,9
388,388,0,1,0,11,0,10
389,389,0,1,0,12,0,11
390,390,0,1,0,13,0,12
391,391,0,1,0,14,0,13
392,392,0,1,0,15,0,14
393,393,0,1,0,16,0,15
394,394,0,1,0,17,0,16
395,395,0,1,0,18,0,17
396,396,0,1,0,19,0,18
397,397,0,1,0,20,0,19
398,398,0,1,0,21,0,20
399,399,0,1,0,22,0,21
400,400,0,1,0,23,0,22
401,401,0,1,0,24,0,23
402,402,0,1,0,25,0,24
403,403,0,1,0,26,0,25
404,404,0,1,0,27,0,26
405,405,0,1,0,28,0,27
406,406,0,1,0,29,0,28
407,407,0,1,0,30,0,29
408,408,0,1,0,31,0,30
409,409,0,1,1,0,0,31
410,410,0,1,1,1,1,31
411,411,0,1,1,2,2,31
412,412,0,1,1,3,3,31
413,413,0,1,1,4,4,31
414,414,0,1,1,5,5,31
415,415,0,1,1,6,6,31
416,416,0,1,1,7,7,31
417,417,0,1,1,8,8,31
418,418,0,1,1,9,9,31
419,419,0,1,1,10,10,31
420,420,0,1,1,11,11,31
421,421,0,1,1,12,12,31
422,422,0,1,1,13,13,31
423,423,0,1,1,14,14,31
424,424,0,1,1,15,15,31
425,425,0,1,1,16,16,31
426,426,0,1,1,17,17,31
427,427,0,1,1,18,18,31
428,428,0,1,1,19,19,31
429,429,0,1,1,20,20,31
430,430,0,1,1,21,21,31
431,431,0,1,1,22,22,31
432,432,0,1,1,23,23,31
433,433,0,1,1,24,24,31
434,434,0,1,1,25,25,31
435,435,0,1,1,26,26,31
436,436,0,1,1,27,27,31
437,437,0,1,1,28,28,31
438,438,0,1,1,29,29,31
439,439,0,1,1,30,30,31
440,440,0,1,1,31,31,31
441,441,0,1,0,0,32,31
442,442,0,1,0,1,0,0
443,443,0,1,0,2,0,1
444,444,0,1,0,3,0,2
445,445,0,1,0,4,0,3
446,446,0,1,0,5,0,4
447,447,0,1,0,6,0,5
448,448,0,1,0,7,0,6
449,449,0,1,0,8,0,7
450,450,0,1,0,9,0,8
451,451,0,1,0,10,0,9
452,452,0,1,0,11,0,10
453,453,0,1,0,12,0,11
454,454,0,1,0,13,0,12
455,455,0,1,0,14,0,13
456,456,0,1,0,15,0,14
457,457,0,1,0,16,0,15
458,458,0,1,0,17,0,16
459,459,0,1,0,18,0,17
460,460,0,1,0,19,0,18
461,461,0,1,0,20,0,19
462,462,0,1,0,21,0,20
463,463,0,1,0,22,0,21
464,464,0,1,0,23,0,22
465,465,0,1,0,24,0,23
466,466,0,1,0,25,0,24
467,467,0,1,0,26,0,25
468,468,0,1,0,27,0,26
469,469,0,1,0,28,0,27
470,470,0,1,0,29,0,28
471,471,0,1,0,30,0,29
472,472,0,1,0,31,0,30
473,473,0,1,1,0,0,31
474,474,0,1,1,1,1,31
475,475,0,1,1,2,2,31
476,476,0,1,1,3,3,31
477,477,0,1,1,4,4,31
478,478,0,1,1,5,5,31
479,479,0,1,1,6,6,31
480,480,0,1,1,7,7,31
481,481,0,1,1,8,8,31
482,482,0,1,1,9,9,31
483,483,0,1,1,10,10,31
484,484,0,1,1,11,11,31
485,485,0,1,1,12,12,31
486,486,0,1,1,13,13,31
487,487,0,1,1,14,14,31
488,488,0,1,1,15,15,31
489,489,0,1,1,16,16,31
490,490,0,1,1,17,17,31
491,491,0,1,1,18,18,31
492,492,0,1,1,19,19,31
493,493,0,1,1,20,20,31
494,494,0,1,1,21,21,31
495,495,0,1,1,22,22,31
496,496,0,1,1,23,23,31
497,497,0,1,1,24,24,31
498,498,0,1,1,25,25,31
499,499,0,1,1,26,26,31
500,500,0,1,1,27,27,31
501,501,0,1,1,28,28,31
502,502,0,1,1,29,29,31
503,503,0,1,1,30,30,31
504,504,0,1,1,31,31,31
505,505,0,1,0,0,32,31
506,506,0,1,0,1,0,0
507,507,0,1,0,2,0,1
508,508,0,1,0,3,0,2
509,509,0,1,0,4,0,3
510,510,0,1,0,5,0,4
511,511,0,1,0,6,0,5
512,512,1,1,0,7,0,6
